RoomsCount;TotalArea;FloorType;WallType;RepairType;BuildingAge;BalconyBlockPresence;ElevatorPresence;BanksCount;BarsCount;KindergartensCount;FillingStationsCount;CafesCount;CinemasCount;SubwayStationcCount;ClothingStoresCount;PublicTransportStopsCount;CulturalParksCount;PizzeriasCount;ChildsClinicsCount;PostOfficesCount;DentalClinicsCount;GroceryStoresCount;ShoppingMallsCount;UniversitiesCount;SchoolsCount;Value
1;34,06;Не первый и не последний;Кирпичные;Косметический ремонт;1;Да;Да;4;0;3;2;4;0;0;2;1;1;0;0;2;2;6;2;15;3;2980000
1;38;Не первый и не последний;Панельные;Косметический ремонт;1;Да;Да;1;0;1;0;0;0;0;0;4;0;0;2;1;0;2;0;0;2;2380000
2;62,25;Не первый и не последний;Панельные;Косметический ремонт;1;Да;Да;1;0;1;0;0;0;0;0;4;0;0;2;1;0;2;0;0;2;3376000
2;63,91;Не первый и не последний;Панельные;Косметический ремонт;1;Да;Да;1;0;1;0;0;0;0;0;4;0;0;2;1;0;2;0;0;2;3466000
2;63;Не первый и не последний;Панельные;Косметический ремонт;1;Да;Да;1;0;1;0;0;0;0;0;4;0;0;2;1;0;2;0;0;2;3375000
2;40,2;Не первый и не последний;Кирпичные;Без ремонта;2;Да;Да;1;1;9;0;0;0;0;4;13;0;1;3;2;6;12;2;0;4;2700000
1;35,12;Последний;Кирпичные;Без ремонта;2;Да;Да;0;0;2;1;0;0;0;0;2;1;1;0;0;1;2;1;0;3;2400000
1;38;Не первый и не последний;Панельные;Без ремонта;2;Да;Нет;17;3;9;0;1;0;0;9;9;1;0;6;3;14;17;4;6;12;2599000
2;64;Не первый и не последний;Смешанные;Без ремонта;2;Да;Нет;17;12;6;2;15;0;3;26;18;7;0;6;2;19;16;7;20;3;5300000
3;85;Не первый и не последний;Кирпичные;Евроремонт;2;Да;Нет;32;24;11;5;24;3;1;27;15;7;0;6;3;29;13;3;14;5;8000000
3;81,5;Последний;Кирпичные;Евроремонт;2;Да;Да;32;24;11;5;24;3;1;27;15;7;0;6;3;29;13;3;14;5;8200000
1;40;Не первый и не последний;Кирпичные;Евроремонт;2;Да;Нет;1;0;2;2;1;0;0;1;2;1;0;1;1;0;1;1;0;2;3350000
1;32,7;Не первый и не последний;Панельные;Евроремонт;2;Да;Да;17;3;9;0;1;0;0;9;9;1;0;6;3;14;17;4;6;12;2790000
1;37,35;Не первый и не последний;Панельные;Евроремонт;2;Да;Да;17;3;9;0;1;0;0;9;9;1;0;6;3;14;17;4;6;12;3000000
2;50,1;Не первый и не последний;Кирпичные;Косметический ремонт;2;Да;Да;32;24;11;5;24;3;1;27;15;7;0;6;3;29;13;3;14;5;5250000
1;39;Не первый и не последний;Кирпичные;Косметический ремонт;2;Да;Да;0;0;2;1;0;0;0;0;2;1;1;0;0;1;4;1;0;3;2790000
2;69,3;Не первый и не последний;Кирпичные;Без ремонта;3;Да;Да;4;4;5;2;0;0;0;3;3;1;3;1;1;5;10;6;18;1;4350000
4;103,3;Не первый и не последний;Кирпичные;Без ремонта;3;Да;Нет;37;12;10;4;33;4;3;50;9;4;6;9;3;43;17;10;34;8;14500000
2;65;Последний;Кирпичные;Без ремонта;3;Да;Да;10;2;10;6;2;0;0;8;9;2;3;5;3;11;15;7;13;9;4950000
1;35;Не первый и не последний;Кирпичные;Без ремонта;3;Да;Да;0;0;2;0;0;0;0;0;2;1;1;0;0;1;4;1;0;3;2250000
1;28,9;Не первый и не последний;Кирпичные;Без ремонта;3;Да;Да;6;3;9;3;0;2;0;14;8;1;4;1;2;6;20;6;0;3;2200000
2;75,6;Не первый и не последний;Кирпичные;Без ремонта;3;Да;Да;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;8500000
2;78;Последний;Кирпичные;Без ремонта;3;Да;Нет;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;7500000
2;60;Последний;Кирпичные;Дизайнерский ремонт;3;Да;Да;37;12;10;4;33;4;3;50;9;4;6;9;3;43;17;10;34;8;9500000
3;74,4;Не первый и не последний;Кирпичные;Дизайнерский ремонт;3;Да;Да;6;3;9;3;0;1;0;8;9;1;3;1;2;5;19;6;0;3;6650000
2;40,3;Не первый и не последний;Кирпичные;Дизайнерский ремонт;3;Да;Да;1;0;2;2;1;0;0;1;2;1;0;1;1;0;1;1;0;2;3700000
2;60;Не первый и не последний;Монолитные;Дизайнерский ремонт;3;Да;Нет;3;0;8;6;1;0;0;12;4;1;2;1;1;1;11;1;0;6;4800000
1;25,9;Не первый и не последний;Кирпичные;Евроремонт;3;Да;Да;0;0;2;0;0;0;0;0;8;0;0;2;1;1;3;0;0;2;2050000
1;46;Не первый и не последний;Кирпичные;Евроремонт;3;Да;Да;2;0;2;0;0;0;0;0;2;1;1;0;1;1;5;1;0;3;3600000
3;132,3;Не первый и не последний;Кирпичные;Евроремонт;3;Нет;Да;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;25500000
